model_name,term,covariance_method,standard_error,p_value
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.3-6]",poisson_cluster_reference_signal,0.09481281932630262,0.33256780339951164
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.6+]",poisson_cluster_reference_signal,0.2941956355156432,0.39811490302518193
S3_access_interaction_speed_simplified,"C(signal_relative_direction_model, Treatment(reference='downstream'))[T.upstream]",poisson_cluster_reference_signal,0.031003438221108192,0.7528949835031791
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.<30 mph]",poisson_cluster_reference_signal,0.11072337299505972,0.0023004504703615664
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.40-49 mph]",poisson_cluster_reference_signal,0.089972397337053,0.5421725514747948
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.50+ mph]",poisson_cluster_reference_signal,0.13103461072756042,0.12461780312044209
S3_access_interaction_speed_simplified,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.missing/review speed]",poisson_cluster_reference_signal,0.14840276745233374,0.2559789673585362
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",poisson_cluster_reference_signal,0.18822369944438894,0.8382342622192563
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.1-3]",poisson_cluster_reference_signal,0.139052298948842,0.6312829274429015
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.3-6]",poisson_cluster_reference_signal,0.19692906810394978,0.010409360020977197
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.6+]",poisson_cluster_reference_signal,0.3566468849613192,0.014776513798567268
S4_speed_sensitivity_no_missing,Intercept,poisson_scaled_pearson,0.052893549573555486,0.0
S4_speed_sensitivity_no_missing,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]",poisson_scaled_pearson,0.06693695458122917,7.089052826564316e-05
S4_speed_sensitivity_no_missing,"C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",poisson_scaled_pearson,0.11107167438080935,0.4649344626255667
S4_speed_sensitivity_no_missing,"C(local_access_density_label, Treatment(reference='0'))[T.1-3]",poisson_scaled_pearson,0.07124515774392905,3.694457344751664e-05
S4_speed_sensitivity_no_missing,"C(local_access_density_label, Treatment(reference='0'))[T.3-6]",poisson_scaled_pearson,0.10006555717905279,0.2502072114688776
S4_speed_sensitivity_no_missing,"C(local_access_density_label, Treatment(reference='0'))[T.6+]",poisson_scaled_pearson,0.23571137795350475,0.3070444982902698
S4_speed_sensitivity_no_missing,"C(signal_relative_direction_model, Treatment(reference='downstream'))[T.upstream]",poisson_scaled_pearson,0.048104054553521604,0.8826150070884609
S4_speed_sensitivity_no_missing,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.<30 mph]",poisson_scaled_pearson,0.09061833943288093,0.00019166489694207216
S4_speed_sensitivity_no_missing,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.40-49 mph]",poisson_scaled_pearson,0.054838701547266513,0.3498663663520616
S4_speed_sensitivity_no_missing,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.50+ mph]",poisson_scaled_pearson,0.10177664444131476,0.04428092660171554
S4_speed_sensitivity_no_missing,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.missing/review speed]",poisson_scaled_pearson,5.424568238079175e-16,0.07836377084428475
S4_speed_sensitivity_no_missing,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",poisson_scaled_pearson,0.20599779567091306,0.9211798616937663
S4_speed_sensitivity_no_missing,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.1-3]",poisson_scaled_pearson,0.13390984467425548,0.8692691643620466
S4_speed_sensitivity_no_missing,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.3-6]",poisson_scaled_pearson,0.1679024082338507,0.005130513939471487
S4_speed_sensitivity_no_missing,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.6+]",poisson_scaled_pearson,0.3350010468621059,0.01042700017043652
